team_name,quarter_label,metric_name,metric_value,metric_unit,source_system,coverage_status,note,last_refresh_utc
ASAP,2025-Q1,No. of Deployments,10,count,Jira,Yes,10 Done RMM deployment ticket(s) with a valid title date in 2025-Q1.,2026-07-16T19:35:58.888Z
ASAP,2025-Q1-S1,No. of Deployments,1,count,Jira,Yes,1 Done RMM deployment ticket(s) with a valid title date in 2025-Q1-S1.,2026-07-16T19:35:58.888Z
ASAP,2025-Q1-S2,No. of Deployments,2,count,Jira,Yes,2 Done RMM deployment ticket(s) with a valid title date in 2025-Q1-S2.,2026-07-16T19:35:58.888Z
ASAP,2025-Q1-S3,No. of Deployments,1,count,Jira,Yes,1 Done RMM deployment ticket(s) with a valid title date in 2025-Q1-S3.,2026-07-16T19:35:58.888Z
ASAP,2025-Q1-S4,No. of Deployments,3,count,Jira,Yes,3 Done RMM deployment ticket(s) with a valid title date in 2025-Q1-S4.,2026-07-16T19:35:58.888Z
ASAP,2025-Q1-S5,No. of Deployments,1,count,Jira,Yes,1 Done RMM deployment ticket(s) with a valid title date in 2025-Q1-S5.,2026-07-16T19:35:58.888Z
ASAP,2025-Q1-S6,No. of Deployments,2,count,Jira,Yes,2 Done RMM deployment ticket(s) with a valid title date in 2025-Q1-S6.,2026-07-16T19:35:58.888Z
ASAP,2025-Q2,No. of Deployments,10,count,Jira,Yes,10 Done RMM deployment ticket(s) with a valid title date in 2025-Q2.,2026-07-16T19:35:58.888Z
ASAP,2025-Q2-S1,No. of Deployments,1,count,Jira,Yes,1 Done RMM deployment ticket(s) with a valid title date in 2025-Q2-S1.,2026-07-16T19:35:58.888Z
ASAP,2025-Q2-S2,No. of Deployments,2,count,Jira,Yes,2 Done RMM deployment ticket(s) with a valid title date in 2025-Q2-S2.,2026-07-16T19:35:58.888Z
ASAP,2025-Q2-S3,No. of Deployments,1,count,Jira,Yes,1 Done RMM deployment ticket(s) with a valid title date in 2025-Q2-S3.,2026-07-16T19:35:58.888Z
ASAP,2025-Q2-S4,No. of Deployments,2,count,Jira,Yes,2 Done RMM deployment ticket(s) with a valid title date in 2025-Q2-S4.,2026-07-16T19:35:58.888Z
ASAP,2025-Q2-S5,No. of Deployments,1,count,Jira,Yes,1 Done RMM deployment ticket(s) with a valid title date in 2025-Q2-S5.,2026-07-16T19:35:58.888Z
ASAP,2025-Q2-S6,No. of Deployments,3,count,Jira,Yes,3 Done RMM deployment ticket(s) with a valid title date in 2025-Q2-S6.,2026-07-16T19:35:58.888Z
ASAP,2025-Q3,No. of Deployments,8,count,Jira,Yes,8 Done RMM deployment ticket(s) with a valid title date in 2025-Q3.,2026-07-16T19:35:58.888Z
ASAP,2025-Q3-S1,No. of Deployments,2,count,Jira,Yes,2 Done RMM deployment ticket(s) with a valid title date in 2025-Q3-S1.,2026-07-16T19:35:58.888Z
ASAP,2025-Q3-S2,No. of Deployments,2,count,Jira,Yes,2 Done RMM deployment ticket(s) with a valid title date in 2025-Q3-S2.,2026-07-16T19:35:58.888Z
ASAP,2025-Q3-S3,No. of Deployments,2,count,Jira,Yes,2 Done RMM deployment ticket(s) with a valid title date in 2025-Q3-S3.,2026-07-16T19:35:58.888Z
ASAP,2025-Q3-S4,No. of Deployments,1,count,Jira,Yes,1 Done RMM deployment ticket(s) with a valid title date in 2025-Q3-S4.,2026-07-16T19:35:58.888Z
ASAP,2025-Q3-S5,No. of Deployments,1,count,Jira,Yes,1 Done RMM deployment ticket(s) with a valid title date in 2025-Q3-S5.,2026-07-16T19:35:58.888Z
ASAP,2025-Q3-S6,No. of Deployments,0,count,Jira,Yes,0 Done RMM deployment ticket(s) with a valid title date in 2025-Q3-S6.,2026-07-16T19:35:58.888Z
ASAP,2025-Q4,No. of Deployments,4,count,Jira,Yes,4 Done RMM deployment ticket(s) with a valid title date in 2025-Q4.,2026-07-16T19:35:58.888Z
ASAP,2025-Q4-S1,No. of Deployments,1,count,Jira,Yes,1 Done RMM deployment ticket(s) with a valid title date in 2025-Q4-S1.,2026-07-16T19:35:58.888Z
ASAP,2025-Q4-S2,No. of Deployments,1,count,Jira,Yes,1 Done RMM deployment ticket(s) with a valid title date in 2025-Q4-S2.,2026-07-16T19:35:58.888Z
ASAP,2025-Q4-S3,No. of Deployments,1,count,Jira,Yes,1 Done RMM deployment ticket(s) with a valid title date in 2025-Q4-S3.,2026-07-16T19:35:58.888Z
ASAP,2025-Q4-S4,No. of Deployments,1,count,Jira,Yes,1 Done RMM deployment ticket(s) with a valid title date in 2025-Q4-S4.,2026-07-16T19:35:58.888Z
ASAP,2025-Q4-S5,No. of Deployments,0,count,Jira,Yes,0 Done RMM deployment ticket(s) with a valid title date in 2025-Q4-S5.,2026-07-16T19:35:58.888Z
ASAP,2025-Q4-S6,No. of Deployments,0,count,Jira,Yes,0 Done RMM deployment ticket(s) with a valid title date in 2025-Q4-S6.,2026-07-16T19:35:58.888Z
ASAP,2025-YTD,No. of Deployments,32,count,Jira,Yes,32 Done RMM deployment ticket(s) with a valid title date in 2025-YTD.,2026-07-16T19:35:58.888Z
ASAP,2026-Q1,No. of Deployments,1,count,Jira,Yes,1 Done RMM deployment ticket(s) with a valid title date in 2026-Q1.,2026-07-16T19:35:58.888Z
